"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2024","45","HOWARD","7,163,626","0","229,638","6,933,988","0","38,310","2,180,125","6,209,499","43,153","547,157","805,110","684,727","17,442,069","0","2,813,920","83","20,256,072",
"2011","86","TAMA","6,973,482","0","86,903","6,886,579","2,367","59,559","740,849","8,629,867","12,784","623,643","147,019","87,283","17,189,950","0","1,757,564","10,294","18,957,808",
"2023","12","BUTLER","7,185,701","0","0","7,185,701","3","35,242","2,613,521","6,488,181","77,671","591,492","444,264","773,099","18,209,174","0","3,308,119","73,480","21,590,773",
"2017","27","DECATUR","3,279,149","0","0","3,279,149","2,163","60,144","391,752","3,968,729","8,290","281,372","10,383","146,754","8,148,736","0","524,812","4,100","8,677,648",
"2017","93","WAYNE","3,703,159","11,439","224,088","3,467,632","1,007","39,154","493,375","4,187,130","12,613","586,989","55,202","111,450","8,954,552","0","637,686","0","9,592,238",
"2013","76","POCAHONTAS","5,774,936","0","261,716","5,513,220","638","17,508","451,556","3,921,728","35,800","482,462","135,081","192,421","10,750,414","0","1,110,000","26,403","11,886,817",
"2015","10","BUCHANAN","7,210,496","4,181","444,995","6,761,320","15,171","61,229","1,101,147","5,885,934","31,482","633,645","294,563","387,081","15,171,572","0","2,542,498","13,073","17,727,143",
"2011","12","BUTLER","4,858,205","0","0","4,858,205","1,794","48,871","644,601","27,207,667","15,280","480,491","522,673","272,611","34,052,193","2,193,400","2,909,238","34,525","39,189,356",
"2023","44","HENRY","9,950,138","0","606,764","9,343,374","9,753","73,272","1,367,346","6,987,532","59,533","859,496","362,118","326,224","19,388,648","0","1,882,958","592,000","21,863,606",
"2022","77","POLK","203,264,228","569,109","7,408,298","195,286,821","-251,592","1,409,182","7,970,889","200,443,622","1,254,351","20,031,907","8,456,915","4,878,532","439,480,627","31,619,321","49,050,075","99,553","520,249,576",
"2015","93","WAYNE","3,400,621","63,252","171,199","3,166,170","2,707","43,522","495,086","3,995,050","8,670","391,461","104,027","86,962","8,293,655","0","736,605","79,086","9,109,346",
"2023","37","GREENE","6,772,704","0","312,320","6,460,384","5","27,979","1,852,381","5,018,601","117,300","751,694","322,107","626,385","15,176,836","3,258,759","2,101,342","229,250","20,766,187",
"2016","26","DAVIS","3,046,972","0","0","3,046,972","1,598","41,095","603,552","4,538,367","4,413","189,873","148,086","246,039","8,819,995","6,215,717","646,741","0","15,682,453",
"2018","47","Ida","2,367,347","0","183,453","2,183,894","36","19,883","601,737","3,135,787","7,845","255,667","526,330","246,352","6,977,531","8,505,015","1,029,845","0","16,512,391",
"2019","27","Decatur","4,397,705","0","290,782","4,106,923","10,617","43,351","403,258","4,426,162","787","357,071","15,618","295,584","9,659,371","535,355","0","19,325","10,214,051",
"2017","10","BUCHANAN","7,162,012","1,608","498,161","6,662,243","697","49,060","1,199,845","6,762,415","31,221","650,775","235,564","270,966","15,862,786","280,000","2,719,049","56,916","18,918,751",
"2017","59","LUCAS","3,373,546","0","0","3,373,546","3,343","35,946","634,853","3,114,932","3,745","244,290","12,178","230,595","7,653,428","150,000","606,130","0","8,409,558",
"2018","11","Buena Vista","9,558,249","83,843","556,727","8,917,679","976","54,133","1,433,919","5,524,413","122,559","962,737","144,635","1,497,474","18,658,525","1,500,000","2,959,017","1,430,585","24,548,127",
"2011","27","DECATUR","2,297,675","0","0","2,297,675","692","35,660","267,655","4,636,108","7,462","297,025","17,531","221,937","7,781,745","0","471,753","1,009","8,254,507",
"2013","48","IOWA","6,854,038","20,804","301,766","6,531,468","6,232","44,311","2,655,745","4,200,866","27,836","1,035,470","341,998","111,592","14,955,518","0","1,224,698","142,000","16,322,216",
"2023","27","DECATUR","3,831,356","0","236,762","3,594,594","5,609","39,444","465,275","5,248,126","12,525","352,324","160,663","292,700","10,171,260","0","687,323","36,530","10,895,113",
"2022","92","WASHINGTON","11,397,711","0","0","11,397,711","645","63,864","2,686,543","10,540,810","114,729","2,259,523","225,441","11,594,710","38,883,976","9,410,242","2,686,118","28,301","51,008,637",
"2024","70","MUSCATINE","17,960,886","43,792","540,970","17,376,124","3,883","139,607","2,787,958","10,616,985","111,159","1,099,925","3,747,628","582,757","36,466,026","3,000,000","7,541,981","0","47,008,007",
"2019","44","Henry","8,030,724","0","542,749","7,487,975","5,444","65,908","1,066,708","5,001,382","33,458","747,072","284,154","151,976","14,844,077","1,529,944","0","11,100","16,385,121",
"2013","61","MADISON","4,825,780","19,584","186,112","4,620,084","46","54,410","968,440","4,323,334","49,650","1,059,956","83,428","86,647","11,245,995","0","1,498,096","3,445","12,747,536",
"2022","4","APPANOOSE","4,475,550","0","348,611","4,126,939","9,583","79,062","1,648,327","5,655,026","5,205","461,309","24,543","149,737","12,159,731","104,580","811,391","0","13,075,702",
"2011","98","WORTH","3,707,651","0","0","3,707,651","6,892","24,326","2,063,525","3,088,849","20,410","281,750","204,936","456,103","9,854,442","8,723,757","979,268","1,054","19,558,521",
"2024","77","POLK","209,588,308","538,099","4,639,738","204,410,471","-132,987","1,504,792","8,788,240","87,547,160","1,199,247","17,409,196","19,773,262","10,301,465","350,800,846","173,106,162","44,777,777","239,182","568,923,967",
"2020","70","Muscatine","18,165,663","69,097","961,040","17,135,526","2,495","70,272","2,369,541","11,419,191","85,996","1,095,761","1,496,598","413,811","34,089,191","1,850,000","4,819,710","6,800","40,765,701",
"2021","44","Henry","9,688,073","0","605,421","9,082,652","105,616","155,560","1,334,005","8,641,968","42,576","763,093","79,366","306,863","20,511,699","0","1,663,570","596","22,175,865",
"2019","59","Lucas","3,547,599","0","235,139","3,312,460","1,818","29,178","744,872","3,412,755","1,690","264,481","232,696","48,856","8,048,806","703,641","0","392","8,752,839",
"2015","48","IOWA","7,180,858","4,768","371,456","6,804,634","453","46,346","1,857,654","4,963,484","29,985","1,748,261","326,056","322,170","16,099,043","20,000","1,315,000","0","17,434,043",
"2014","65","MILLS","7,184,010","1,657","260,852","6,921,501","3,596","56,937","1,284,606","4,724,882","154,710","452,587","99,538","293,390","13,991,747","6,253,198","2,147,216","2,630","22,394,791",
"2011","59","LUCAS","2,985,241","0","0","2,985,241","2,298","34,784","433,400","3,387,040","375","250,737","25,575","153,489","7,272,939","0","930,241","10","8,203,190",
"2018","26","Davis","3,913,634","0","0","3,913,634","2,449","53,137","676,713","3,911,927","3,882","372,792","226,077","320,376","9,480,987","0","801,300","0","10,282,287",
"2019","12","Butler","6,341,377","0","0","6,341,377","405","33,610","1,495,399","6,556,521","40,685","472,250","565,448","536,228","16,041,923","4,345,678","0","309","20,387,910",
"2015","65","MILLS","7,649,319","932","276,159","7,372,228","1,512","59,752","1,079,780","4,826,881","269,123","447,845","108,509","-22,883","14,142,747","0","2,138,815","5,000","16,286,562",
"2016","45","HOWARD","5,136,362","0","311,135","4,825,227","829","34,643","2,196,874","4,106,365","17,935","506,387","121,728","461,264","12,271,252","400,000","1,807,628","0","14,478,880",
"2018","62","Mahaska","8,171,791","0","495,060","7,676,731","-61","46,726","1,326,931","5,311,415","24,967","656,887","164,026","931,408","16,139,030","4,879,922","3,860,647","7,500","24,887,099",
"2023","93","WAYNE","4,249,421","29,839","160,650","4,058,932","8,975","28,011","709,889","5,249,356","32,535","537,216","1,381,232","376,139","12,382,285","0","869,823","10,501","13,262,609",
"2020","98","Worth","4,919,197","32,503","367,574","4,519,120","250","8,769","4,432,214","4,167,894","33,230","266,755","174,841","347,641","13,950,714","0","1,339,259","0","15,289,973",
"2011","91","WARREN","11,367,712","5,117","347,900","11,014,695","3,351","131,792","417,028","7,901,467","49,659","1,091,445","97,448","529,513","21,236,398","0","2,337,413","11,643","23,585,454",
"2010","21","CLAY","6,147,591","0","264,063","5,883,528","286","37,376","837,996","4,542,356","29,817","491,610","426,138","934,472","13,183,579","0","2,210,320","18,849","15,412,748",
"2021","59","Lucas","3,402,427","0","0","3,402,427","34,801","44,166","739,829","3,955,353","2,297","288,726","43,694","237,025","8,748,318","0","782,660","0","9,530,978",
"2022","60","LYON","6,967,001","0","352,184","6,614,817","903","25,134","2,716,741","7,841,321","68,980","1,191,178","196,746","344,256","19,000,076","2,675,000","4,879,752","12,420","26,567,248",
"2023","33","FAYETTE","10,108,189","0","619,754","9,488,435","2,447","60,943","1,187,550","9,417,715","69,592","1,384,175","416,130","969,973","22,996,960","0","2,856,803","59,942","25,913,705",
"2014","26","DAVIS","2,889,583","0","0","2,889,583","1,236","41,998","587,570","3,387,110","1,333","176,468","120,274","327,828","7,533,400","0","675,203","5,920","8,214,523",
"2018","79","Poweshiek","7,028,370","0","0","7,028,370","15","46,945","1,275,794","4,843,177","167,613","594,662","234,638","232,675","14,423,889","0","3,689,051","1,148","18,114,088",
"2024","94","WEBSTER","19,208,977","0","0","19,208,977","1,577","156,295","3,368,024","13,692,781","154,836","1,178,708","1,823,370","1,342,866","40,927,434","0","17,402,634","4,465,552","62,795,620",
"2010","47","IDA","2,593,874","425","119,163","2,474,286","0","18,177","284,796","2,517,550","13,951","208,187","19,911","162,055","5,698,913","0","1,128,470","185","6,827,568",
"2019","79","Poweshiek","7,160,910","0","0","7,160,910","0","46,097","1,262,798","5,375,745","114,800","652,825","375,879","233,466","15,222,520","3,503,818","0","1,782","18,728,120",
"2010","94","WEBSTER","10,468,820","0","372,943","10,095,877","2,621","110,600","2,411,381","11,013,106","41,614","995,119","318,238","191,888","25,180,444","0","2,030,777","0","27,211,221",
"2016","13","CALHOUN","5,952,903","0","306,941","5,645,962","454","29,699","520,371","4,763,752","9,160","1,179,862","160,233","300,184","12,609,677","0","1,433,371","34,388","14,077,436",
"2023","61","MADISON","7,515,389","0","386,923","7,128,466","6,455","71,799","2,553,808","6,175,820","121,016","1,112,016","472,268","423,152","18,064,800","0","2,405,349","163,956","20,634,105",
