"FIPS","County","Year","Population","Primary Point"
"19179","Wapello County","July 01, 2007","35,344","POINT (-92.4094499 41.0305845)"
"19109","Kossuth County","July 01, 2021","14,511","POINT (-94.2067199 43.20413)"
"19097","Jackson County","July 01, 2022","19,350","POINT (-90.5742294 42.1717426)"
"19177","Van Buren County","July 01, 2018","7,013","POINT (-91.9499871 40.7532294)"
"19157","Poweshiek County","July 01, 2019","18,504","POINT (-92.5314684 41.6864422)"
"19099","Jasper County","July 01, 2017","36,995","POINT (-93.053765 41.6860394)"
"19101","Jefferson County","July 01, 1998","16,628","POINT (-91.9488774 41.0317596)"
"19111","Lee County","July 01, 2017","34,216","POINT (-91.479264 40.6419764)"
"19171","Tama County","July 01, 2007","17,670","POINT (-92.5325425 42.0798117)"
"19101","Jefferson County","April 01, 2010","16,843","POINT (-91.9488774 41.0317596)"
"19137","Montgomery County","July 01, 2019","9,917","POINT (-95.1563758 41.03014)"
"19031","Cedar County","July 01, 2004","18,030","POINT (-91.1324125 41.7723207)"
"19005","Allamakee County","July 01, 2022","14,072","POINT (-91.3780923 43.2842838)"
"19045","Clinton County","July 01, 1996","51,270","POINT (-90.5319724 41.8980358)"
"19057","Des Moines County","July 01, 2001","41,917","POINT (-91.1814707 40.9231829)"
"19137","Montgomery County","July 01, 2002","11,300","POINT (-95.1563758 41.03014)"
"19177","Van Buren County","July 01, 2023","7,266","POINT (-91.9499871 40.7532294)"
"19059","Dickinson County","July 01, 2005","16,608","POINT (-95.1508301 43.3779848)"
"19043","Clayton County","July 01, 2019","17,549","POINT (-91.3414328 42.8447493)"
"19189","Winnebago County","July 01, 1991","12,131","POINT (-93.7341955 43.3775678)"
"19071","Fremont County","July 01, 2018","6,981","POINT (-95.6046765 40.7455892)"
"19127","Marshall County","July 01, 2002","39,033","POINT (-92.9987706 42.0358499)"
"19175","Union County","July 01, 2022","11,922","POINT (-94.2423792 41.0277304)"
"19061","Dubuque County","July 01, 2002","89,218","POINT (-90.8824564 42.468832)"
"19153","Polk County","July 01, 2018","485,833","POINT (-93.5735335 41.6855048)"
"19001","Adair County","April 01, 2020","7,496","POINT (-94.4709413 41.3307464)"
"19015","Boone County","July 01, 1993","25,259","POINT (-93.931671 42.0365493)"
"19049","Dallas County","July 01, 2007","57,278","POINT (-94.0397374 41.6848862)"
"19075","Grundy County","July 01, 2021","12,376","POINT (-92.7914177 42.4018651)"
"19005","Allamakee County","July 01, 1993","14,123","POINT (-91.3780923 43.2842838)"
"19177","Van Buren County","July 01, 2012","7,449","POINT (-91.9499871 40.7532294)"
"19087","Henry County","July 01, 2006","20,095","POINT (-91.5445241 40.9879383)"
"19021","Buena Vista County","July 01, 2016","20,325","POINT (-95.151149 42.7354936)"
"19065","Fayette County","April 01, 2020","19,509","POINT (-91.8443207 42.8625919)"
"19085","Harrison County","July 01, 2009","15,328","POINT (-95.8169209 41.6828528)"
"19043","Clayton County","July 01, 2024","16,931","POINT (-91.3414328 42.8447493)"
"19125","Marion County","April 01, 1990","30,001","POINT (-93.0994367 41.3344515)"
"19099","Jasper County","July 01, 2001","37,266","POINT (-93.053765 41.6860394)"
"19161","Sac County","July 01, 2007","10,294","POINT (-95.1053946 42.3862604)"
"19187","Webster County","July 01, 2018","36,339","POINT (-94.1817881 42.4279662)"
"19009","Audubon County","July 01, 2019","5,496","POINT (-94.9058222 41.6845893)"
"19001","Adair County","July 01, 2023","7,399","POINT (-94.4709413 41.3307464)"
"19195","Worth County","April 01, 1990","7,991","POINT (-93.2608476 43.3773984)"
"19119","Lyon County","July 01, 2014","11,703","POINT (-96.2102924 43.380497)"
"19035","Cherokee County","July 01, 2024","11,658","POINT (-95.6238055 42.7356226)"
"19085","Harrison County","July 01, 1995","14,993","POINT (-95.8169209 41.6828528)"
"19175","Union County","July 01, 2017","12,459","POINT (-94.2423792 41.0277304)"
"19143","Osceola County","July 01, 1991","7,285","POINT (-95.6236852 43.3785704)"
"19067","Floyd County","April 01, 2010","16,303","POINT (-92.7890033 43.0599208)"
"19069","Franklin County","April 01, 2020","10,019","POINT (-93.262473 42.7325458)"
"19107","Keokuk County","July 01, 2019","10,246","POINT (-92.1786426 41.336465)"
"19025","Calhoun County","April 01, 2000","11,115","POINT (-94.6404136 42.3851848)"
"19047","Crawford County","July 01, 1995","16,715","POINT (-95.3819678 42.0372125)"
"19023","Butler County","July 01, 2001","15,005","POINT (-92.7901934 42.7315661)"
"19135","Monroe County","April 01, 2020","7,577","POINT (-92.8689877 41.0297826)"
"19183","Washington County","July 01, 2009","21,258","POINT (-91.7178676 41.335591)"
