"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2020","24","CRAWFORD","2,718,341","2,229,835","608,672","1,037,138","8,817,934","649,342","1,484,153","0","152,903","268,952","17,967,270","3,382,900","0","21,350,170",
"2012","87","TAYLOR","856,229","983,560","575,758","574,825","3,251,861","299,527","594,624","0","197,356","3,809,280","11,143,020","713,612","0","11,856,632",
"2017","78","POTTAWATTAMIE","28,133,862","4,350,624","2,572,551","4,498,401","12,003,757","2,229,353","7,151,312","0","3,919,751","3,816,018","68,675,629","9,875,417","0","78,551,046",
"2024","13","CALHOUN","4,114,528","1,286,924","0","1,487,706","5,702,858","536,677","1,945,056","974,456","0","846,236","16,894,441","2,057,351","0","18,951,792",
"2018","90","WAPELLO","4,238,551","1,146,735","1,460,011","842,221","4,655,861","687,581","3,128,651","71,581","781,055","2,595,276","19,607,523","1,150,000","0","20,757,523",
"2014","21","CLAY","3,328,658","637,912","886,635","1,491,919","4,242,519","414,893","1,713,507","0","501,499","1,000,837","14,218,379","2,002,736","0","16,221,115",
"2021","27","DECATUR","1,762,288","615,421","287,753","579,855","3,978,304","375,152","799,943","0","320,528","5,775","8,725,019","648,712","0","9,373,731",
"2013","29","DES MOINES","6,161,072","1,361,013","2,369,210","1,684,932","4,403,524","954,459","3,287,400","0","747,743","642,458","21,611,811","1,817,351","0","23,429,162",
"2011","54","KEOKUK","919,009","533,160","857,539","537,400","3,603,159","316,852","1,973,438","0","0","533,971","9,274,528","1,000,000","0","10,274,528",
"2012","31","DUBUQUE","13,214,879","13,465,628","9,650,175","4,418,844","5,922,102","1,338,595","7,401,091","447","515,443","2,073,242","58,000,446","5,744,243","0","63,744,689",
"2012","92","WASHINGTON","3,790,209","2,438,258","2,365,812","1,054,864","4,590,946","595,758","1,539,551","60,623","2,900,987","5,532,665","24,869,673","3,110,741","0","27,980,414",
"2014","53","JONES","2,414,210","680,042","1,074,722","759,767","5,602,976","593,308","1,578,294","623,032","0","988,117","14,314,468","1,793,620","0","16,108,088",
"2010","58","LOUISA","2,125,529","635,454","1,090,734","678,161","3,216,983","278,328","1,482,944","1,213,587","356,298","911,950","11,989,968","1,768,397","0","13,758,365",
"2013","20","CLARKE","1,561,495","988,682","612,622","250,817","2,840,867","401,709","872,496","0","397,160","2,539","7,928,387","540,000","0","8,468,387",
"2023","76","POCAHONTAS","2,412,582","1,597,073","0","1,121,473","6,424,427","404,546","2,082,404","10,922","0","91,016","14,144,443","1,736,605","0","15,881,048",
"2010","79","POWESHIEK","2,415,958","318,079","1,589,465","855,818","4,010,284","653,021","1,089,319","187,782","603,920","4,929,755","16,653,401","2,107,326","0","18,760,727",
"2021","12","BUTLER","2,403,177","1,355,839","436,170","1,727,141","6,776,665","555,229","1,875,293","1,504","1,011,930","3,388,151","19,531,099","6,050,590","0","25,581,689",
"2012","64","MARSHALL","7,054,739","930,548","4,443,055","996,987","6,219,370","717,913","2,441,394","0","594,129","1,420,571","24,818,706","2,936,114","0","27,754,820",
"2022","45","HOWARD","2,277,022","407,965","356,188","3,608,611","5,257,830","402,660","1,866,530","0","1,153,757","364,206","15,694,769","2,543,422","0","18,238,191",
"2010","30","DICKINSON","2,091,075","511,332","1,463,676","3,192,777","3,155,072","579,535","1,675,035","206,530","1,674,319","4,504,204","19,053,555","2,758,913","0","21,812,468",
"2012","19","CHICKASAW","1,423,651","1,302,874","1,152,806","551,771","4,363,983","343,906","1,087,557","0","0","460,746","10,687,294","2,559,724","0","13,247,018",
"2024","30","DICKINSON","5,631,519","552,825","0","4,160,428","6,865,445","1,054,747","3,674,396","111,657","286,896","2,497,835","24,835,748","4,317,242","0","29,152,990",
"2014","80","RINGGOLD","1,195,872","904,329","575,446","262,018","3,936,336","243,464","1,519,472","12,184","192,430","219,515","9,061,066","712,648","0","9,773,714",
"2019","34","FLOYD","3,161,377","1,199,623","863,921","892,569","5,846,435","621,155","1,202,712","0","754,301","2,056,558","16,598,651","1,412,373","0","18,011,024",
"2014","97","WOODBURY","13,700,876","5,420,019","4,993,564","2,380,294","6,932,727","2,296,383","5,893,990","28,420","1,030,292","2,219,078","44,895,643","8,085,760","0","52,981,403",
"2011","66","MITCHELL","1,368,286","1,743,408","385,073","1,361,144","3,606,089","282,970","1,036,009","0","766,872","1,834,450","12,384,301","2,850,372","0","15,234,673",
"2024","80","RINGGOLD","1,721,127","997,269","0","452,518","4,573,062","381,715","1,102,999","0","189,200","553,377","9,971,267","920,000","0","10,891,267",
"2023","16","CEDAR","4,906,405","1,687,656","0","2,048,760","7,160,813","566,130","2,787,494","6,980","719,857","5,777,278","25,661,373","2,849,513","0","28,510,886",
"2017","64","MARSHALL","7,602,282","603,111","958,906","892,080","6,801,245","958,226","2,604,337","0","744,099","131,103","21,295,389","2,764,932","0","24,060,321",
"2017","97","WOODBURY","16,420,070","4,969,511","3,237,770","2,552,551","8,469,676","2,312,184","6,763,383","169,980","1,357,034","7,039,898","53,292,057","11,324,759","0","64,616,816",
"2011","81","SAC","2,115,320","572,013","1,609,965","698,071","3,871,926","368,646","1,119,057","0","50,250","420,670","10,825,918","1,161,715","0","11,987,633",
"2024","65","MILLS","4,660,297","1,769,028","0","1,347,343","7,256,228","663,373","3,368,826","0","1,375,537","5,405","20,446,037","3,450,499","0","23,896,536",
"2015","97","WOODBURY","14,478,134","5,313,524","4,770,191","2,457,371","6,171,294","2,206,920","6,669,747","27,998","1,096,411","6,188,963","49,380,553","9,538,153","0","58,918,706",
