"","County","Year","Population","Personal_Income","Personal_Income_Per_Capita","Total_Revenue","Revenue_Percent_Property_Tax","Revenue_Percent_Grant","Revenue_Percent_Activities","Revenue_Percent_Other","Total_Budget","Budgeted_Public_Safety_Percent","Budgeted_Mental_Health_Percent","Budgeted_Roads_Transportation_Percent","Budgeted_Administration_Percent","Budgeted_Debt_Percent","Budgeted_Physical_Health_Percent","Budgeted_Environment_Education_Percent","Budgeted_Services_to_Residents_Percent","Budgeted_Refunded_Programs_Percent","Budgeted_Projects_Percent","Budgeted_Transfers_Out_Percent","Budgeted_Refunded_Debt_Percent","Total_Expenditure","Actual_Public_Safety_Percent","Actual_Mental_Health_Percent","Actual_Roads_Transportation_Percent","Actual_Administration_Percent","Actual_Debt_Percent","Actual_Physical_Health_Percent","Actual_Environment_Education_Percent","Actual_Services_to_Residents_Percent","Actual_Refunded_Programs_Percent","Actual_Projects_Percent","Actual_Transfers_Out_Percent","Actual_Refunded_Debt_Percent"
"11","CHICKASAW",2013,12274,587607000,47695,12913255,0.3129,0.322,0.0922,0.2729,14529325,0.110828961428009,0.0889740576386033,0.302160630311456,0.0917779043417365,0,0.110926832457805,0.0397024638102596,0.0306333570210591,0.000144535276070981,0.0643467607751909,0.16050449693981,0,13599504,0.111884815799164,0.0651467141742817,0.339360759039447,0.100750733262037,0,0.102033574165646,0.0393240812311978,0.0285226578851699,0.000148020104262626,0.048521181360732,0.164307462978062,0
"12","DICKINSON",2013,16878,853484000,50365,33302346,0.2401,0.0987,0.029,0.6322,20206558,0.114591510340356,0.0831081671603843,0.173210202351138,0.0967124138608862,0.0852998813553501,0.0292538689666988,0.121773535106771,0.0369252893045911,0.00969982121645854,0.0969982121645854,0.152427098172781,0,34219771,0.0669448372404362,0.0269072519509263,0.100058472045298,0.053128350858923,0.0501138070152486,0.0152795002631666,0.0481443315327855,0.0198115586454392,0.00996432734748576,0.505442745364953,0.104204817735338,0
"13","SIOUX",2021,35979,2130142000,59185,41599621,0.2551,0.3402,0.0364,0.3683,32915050,0.15160952208792,0.0315898654263019,0.242509429577048,0.0812721840009357,0.0342986566935186,0.0277037403862367,0.0584720667293533,0.0337059187210714,0.00129424078043327,0.206139197722622,0.131405177874559,0,35911362,0.129753502526582,0.0270510764810313,0.20328869732092,0.0708337656477635,0.2262028658228,0.0250374240887884,0.0596531537845877,0.0301628214491001,0.000987570451936632,0.0890397585031723,0.137989363923318,0
"14","MILLS",2013,14905,748386000,50591,15330767,0.447,0.2689,0.0532,0.2309,19099885,0.147210991060941,0.0896905923779122,0.286581044859694,0.14941749649278,0.00555867221190075,0.107768397558415,0.0645933208498376,0.0260056016044076,0,0.0208378217984035,0.102336061185709,0,15746141,0.168912878399857,0.0309432641305574,0.299867694567196,0.187876889963071,0.00674260442606223,0.106012006370323,0.0480581877172318,0.0306732932214947,0,0.00141679158087051,0.119496389623337,0
"15","LYON",2013,11695,643645000,54764,15182725,0.3461,0.3159,0.0701,0.2679,14901472,0.204499260207314,0.0713474480910342,0.304018690234092,0.0763940636200236,0.0162683928138106,0.0629975347401921,0.0584534870112161,0.0325857740765476,0.00606819245776525,0.0316747231414454,0.135692433606559,0,14212878,0.216248742865449,0.0440570164607056,0.288187867369297,0.0835251664019068,0.0170495377502009,0.0575511870291154,0.0596981132181674,0.0378646041990932,0.00603262759308847,0.0459918110885072,0.143793326024469,0
"16","GUTHRIE",2021,10598,691423000,65315,22104904,0.3888,0.298,0.0432,0.27,19177131,0.124323028298654,0.014961518487828,0.33304721128515,0.106010070015165,0.0557067165051957,0.0871263798531699,0.0875139769342974,0.0252733842199858,0.00127756336440524,0.0380661737149316,0.126693977321217,0,23338725,0.0967706247877722,0.0124810159938043,0.301885600005999,0.0676283730152354,0.0669756381293323,0.0650524396684052,0.0676671926165632,0.0179360269252069,0.000183728974054924,0.199316543641523,0.104102816242104,0
"17","DUBUQUE",2011,94593,3707324000,39085,61426497,0.4035,0.3301,0.093,0.1734,65270058,0.205222707171487,0.146124138575149,0.101115598824809,0.125884950186501,0.00767426926447652,0.205644845604396,0.053830364299661,0.0210185809854804,9.19257647970835e-06,0.0649915157115381,0.0684838368000225,0,58559559,0.222974425063549,0.144050640818521,0.129692250585425,0.0837251523700853,0.00855368463413463,0.221939751971151,0.0591418729775612,0.0216213035347483,1.28074734989039e-05,0.0206185978962034,0.0876695126751211,0
"18","JONES",2011,20743,756712000,36472,16087335,0.352,0.386,0.0532,0.2088,17289336,0.123394443835206,0.158860872389778,0.321634098614313,0.0793584554085825,0.00211251606192395,0.0480737374760951,0.0436116227945365,0.0334649057661902,0.00686232253222449,0.0708529234436765,0.111774101677473,0,15722234,0.137155572166144,0.139772948297297,0.349296289573098,0.0864270306624364,0.0106387552812151,0.0474903248482372,0.0597426548924281,0.0343334795805736,0.00534497832814344,0.00689259554335599,0.122905370827072,0
"19","JOHNSON",2010,130882,5310384000,40435,89180869,0.4502,0.2311,0.0512,0.2675,109086841,0.276531410420071,0.129418927806334,0.0628457652376238,0.0650017264685481,0.038000513737491,0.0761890336525558,0.0299213632925717,0.0202447241092993,0,0.0725851984292038,0.229261336846302,0,98815851,0.265311533875269,0.110848784776442,0.0710914081992777,0.0639847244750237,0.0645851443408609,0.0831735588655711,0.03263604945324,0.0192770995819284,9.89719756600588e-06,0.0732180103372282,0.215863788897593,0
"20","BLACK HAWK",2018,131723,5878409000,44537,72637916,0.4728,0.2169,0.0881,0.2222,77899222,0.288220375294634,0.0851129167888224,0.10234357667911,0.0797193841037334,0.10901581276383,0.103777236696921,0.0460073400989807,0.0281571875005376,0,0.0453654081423304,0.112280761931101,0,78401633,0.281432747708201,0.0814700505026471,0.0908822013949633,0.0727076437298187,0.107213570411218,0.108778346491839,0.0582981862125244,0.0271160678502704,0,0.0566919314040308,0.115409254294486,0
